restaurant,location,cuisine,price,food_rating,service_rating,ambience_rating,value_rating,num_reviews,recommendation_percentage,chef,dining_style,dress_code,noise_level
The Mermaid Inn Uptown,Upper West Side,Seafood,$31 to $50,4.6,4.6,4.5,4.3,2730,96%,Michael Cressotti ,Casual Dining,Casual Dress,Moderate
The Milling Room,Upper West Side,American,$31 to $50,4.4,4.4,4.7,4,1419,90%,Phillip Kirschen Clark,Casual Elegant,Smart Casual,Moderate
P.J. Clarke's-Lincoln Square,Lincoln Square,American,$30 and under,4.1,4.3,4.1,3.8,541,90%,,Casual Dining,Business Casual,Moderate
Carroll Place,Greenwich Village,Italian,$30 and under,4.4,4.2,4.5,4.4,480,89%,,Casual Dining,Casual Dress,Moderate
The Mermaid Oyster Bar,Greenwich Village,Seafood,$31 to $50,4.7,4.7,4.5,4.4,1292,95%,Michael Cressotti,Casual Dining,Casual Dress,Moderate
Piccola Cucina Enoteca - Prince St.,SoHo,Italian,$30 and under,4.8,4.8,4.5,4.7,698,94%,Philip Guardione ,Casual Dining,Smart Casual,Moderate
Pig and Khao,Lower East Side,Southeast Asian,$31 to $50,4.7,4.4,4.3,4.4,1202,94%,Leah Cohen,Casual Dining,Casual Dress,Moderate
Jane,Greenwich Village,American,$31 to $50,4.2,4.3,4.1,3.9,3458,81%,Steve Meyers,Casual Elegant,Casual Dress,Moderate
Tamarind - Tribeca,TriBeCa - Downtown,Indian,$31 to $50,4.7,4.7,4.7,4.2,2887,94%,,Fine Dining,Smart Casual,Moderate
AQUAGRILL,SoHo,Seafood,$31 to $50,4.7,4.7,4.3,4.2,1738,99%,Jeremy Marshall,Fine Dining,Smart Casual,Moderate
Baker & co,West Village,Italian,$31 to $50,4.5,4.4,4.5,4.3,357,93%,Riccardo Buitoni ,Casual Elegant,Smart Casual,Moderate
Uva,Upper East Side,Italian,$30 and under,4.6,4.4,4.5,4.4,1499,94%,Claudio Meneghini,Casual Dining,Casual Dress,Moderate
EN Japanese Brasserie,West Village,Japanese,$31 to $50,4.5,4.4,4.6,4,2111,87%,Abe Hiroki ,Casual Elegant,Casual Dress,Moderate
Piccola Cucina Osteria - Spring St.,SoHo,Italian,$30 and under,4.7,4.6,4.3,4.5,1334,95%,,Casual Dining,Business Casual,Moderate
The Mark Restaurant by Jean-Georges,Upper East Side,Contemporary American,$50 and over,4.5,4.4,4.6,3.9,1987,75%,Pierre Schutz  ,Casual Elegant,Smart Casual,Moderate
Bâtard,TriBeCa - Downtown,French,$50 and over,4.7,4.6,4.5,4.3,1143,92%,Markus Glocker,Casual Elegant,Smart Casual,Moderate
Dirty French,Lower East Side,French,$50 and over,4.4,4.3,4.5,3.9,1147,86%,Jordan Terry,Casual Dining,Smart Casual,Moderate
Boqueria Soho,SoHo,Spanish,$31 to $50,4.7,4.5,4.5,4.3,630,95%,Marc Vidal,Casual Dining,Casual Dress,Moderate
The Little Owl,West Village,American,$31 to $50,4.7,4.8,4.7,4.4,2208,97%,Joey Campanaro,Casual Dining,Smart Casual,Moderate
"One if by Land, Two if by Sea",Greenwich Village,American,$50 and over,4.4,4.6,4.8,3.9,5749,84%,Gary Volkov,Fine Dining,Business Casual,Quiet
The Mermaid Inn East Village,East Village,Seafood,$31 to $50,4.6,4.6,4.6,4.4,1592,98%,Michael Cressotti,Casual Dining,Casual Dress,Moderate
Boqueria UES,Upper East Side,Spanish,$31 to $50,4.6,4.5,4.5,4.2,610,96%,Marc Vidal,Casual Elegant,Casual Dress,Moderate
Tuome,East Village,Contemporary American,$31 to $50,4.7,4.5,4.4,4.3,514,89%,Thomas Chen,Casual Dining,Smart Casual,Moderate
The Loyal,West Village,American,$31 to $50,4.2,4.3,4.4,3.8,368,77%,John​ ​Fraser ,Casual Elegant,Casual Dress,Moderate
Mancora,East Village,Peruvian,$30 and under,4,3.8,3.6,4,179,67%,Enrique Peraldo,Casual Dining,Casual Dress,Moderate
The Ribbon - UWS,Upper West Side,Contemporary American,$31 to $50,4.4,4.2,4.3,3.9,1126,86%,Bruce & Eric Bromberg,Casual Dining,Casual Dress,Moderate
Ethos - Gallery,Midtown East,Greek,$30 and under,4.7,4.6,4.6,4.3,1729,97%,,Casual Dining,Smart Casual,Moderate
Arco Cafe,Upper West Side,Italian,$30 and under,4.6,4.6,4.4,4.6,257,91%,,Casual Dining,Casual Dress,Moderate
Tony's Di Napoli – Upper East Side.,Upper East Side,Italian,$30 and under,4.5,4.5,4.3,4.4,2015,93%,Andres Sanango,Casual Dining,Casual Dress,Moderate
Warren 77,TriBeCa - Downtown,American,$31 to $50,4.2,4.2,4.6,4.3,64,100%,,Casual Dining,Casual Dress,Moderate
Eleven B,East Village,Italian,$30 and under,4.4,4.3,4.6,4.4,39,100%,Vincent Sgarlato,Casual Dining,Casual Dress,Moderate
Olma Caviar Boutique & Lounge,Upper West Side,International,$30 and under,4.4,4.2,4,4,93,87%,Leny Gonzales,Casual Dining,Casual Dress,Moderate
Jadis,Lower East Side,French,$30 and under,4.5,4.6,4.7,4.5,21,100%,,Casual Dining,Business Casual,Quiet
Seamore's Nolita,Little Italy,Seafood,$31 to $50,4.4,4.4,4.5,4.2,7,83%,Chris Cryer,Casual Dining,Casual Dress,Moderate
Chocolat Restaurant & Bar,Harlem,Comfort Food,$30 and under,4.2,4,4.1,3.8,1019,79%,Anthony Williamson,Casual Elegant,Casual Dress,Moderate
RDV Harlem,Harlem,French,$30 and under,4.7,4.6,4.5,4.5,187,100%,Chef Kfir Ben-Ari,Elegant Dining,Smart Casual,Moderate
The Carlyle Restaurant,Upper East Side,French American,$50 and over,4.4,4.6,4.8,3.9,772,80%,Ron Pietruszka,Fine Dining,Jacket Preferred,Moderate
Dulce Vida Latin Bistro,Upper East Side,Latin American,$30 and under,4.7,4.7,4.6,4.3,53,100%,,Casual Dining,Casual Dress,Quiet
Peri Ela,Upper East Side,Turkish,$30 and under,4.3,4.2,4.1,4,235,85%,,Casual Elegant,Smart Casual,Moderate
Bua Thai Ramen & Robata Grill,Upper East Side,Thai,$30 and under,4.2,3.9,4.1,4,24,91%,,Casual Dining,Casual Dress,Moderate
The Cecil Steakhouse,Harlem,American,$31 to $50,4.3,4.2,4.5,4,1333,83%,Landy Mendoza,Casual Dining,Casual Dress,Moderate
Big Daddy’s – Upper West Side,Upper West Side,American,$30 and under,3.9,3.7,3.8,3.7,399,71%,Michael Siry  ,Casual Dining,Casual Dress,Moderate
The Poni Room,NoHo,Seafood,$31 to $50,3.9,4,4.4,3.6,9,83%,Brad Farmerie and Nicole Gajadhar,Casual Dining,Casual Dress,Moderate
Kouzan,Upper West Side,Japanese,$30 and under,4.4,4.3,4.2,4.2,434,94%,Yamada Tony,Casual Dining,Casual Dress,Quiet
Shaking Crab - Upper West Side,Upper West Side,Cajun,$30 and under,4.5,4.3,4.2,4.2,194,91%,,Casual Dining,Smart Casual,Moderate
Troquet,SoHo,French,$31 to $50,3.9,4.1,4,3.7,54,63%,Solene HERARD,Casual Elegant,Casual Dress,Moderate
Huertas,East Village,Spanish,$31 to $50,4.4,4.3,4.4,3.8,201,100%,Jonah Miller,Casual Elegant,Casual Dress,Moderate
Malai Marke,East Village,Indian,$30 and under,4.4,4.2,3.9,4.3,236,100%,,Casual Dining,Casual Dress,Moderate
Swagat,Upper West Side,Indian,$30 and under,4.6,4.6,4,4.5,267,100%,Lala Sharma,Fine Dining,Casual Dress,Quiet
Maruzzella,Upper East Side,Italian,$31 to $50,4.3,4.6,4.1,4.1,317,82%,,Fine Dining,Casual Dress,Moderate
Melba's,Harlem,American,$50 and over,4.6,4.5,4.4,4.4,97,95%,,Casual Dining,Business Casual,Moderate
Trattoria iL Gusto Wine Bar,Upper West Side,Italian,$30 and under,4.5,4.6,4.5,4.5,86,95%,,Casual Dining,Smart Casual,Moderate
LENA,Lower East Side,French,$30 and under,4.4,4.3,4.5,4.2,51,75%,pierre,Casual Elegant,Smart Casual,Moderate
Row House,Harlem,American,$30 and under,4.2,4.2,4.3,4.2,404,81%,Humberto Guallpa,Casual Elegant,Smart Casual,Moderate
ATRIO Wine Bar & Restaurant,Battery Park,Contemporary American,$31 to $50,4.5,4.5,4.3,4.1,232,80%,Gerron Douglas ,Casual Elegant,Smart Casual,Moderate
Bellini,Financial District,Italian,$31 to $50,4.5,4.3,4.7,4,47,64%,,Casual Elegant,Business Casual,Quiet
Pitchounette81,Upper East Side,French,$31 to $50,4.4,4.6,4.3,4.2,55,96%,,Casual Dining,Business Casual,Quiet
Antica (Ancora),Financial District,Italian,$30 and under,4.7,4.7,4.5,4.4,293,92%,Luis Barezi.,Casual Dining,Business Casual,Moderate
MAV SOHO,TriBeCa - Downtown,Contemporary Italian,$31 to $50,4.3,4.1,4.2,4,14,80%,Massimiliano Eandi,Casual Elegant,Casual Dress,Quiet
La Bella Vita,Little Italy,Italian,$30 and under,4.5,4.5,4.1,4.5,158,100%,,Casual Dining,Casual Dress,Moderate
Casa Mezcal,Lower East Side,Regional Mexican,$31 to $50,4.2,3.7,4.6,4.1,157,88%,Gloria Arteaga,Casual Elegant,Smart Casual,Moderate
Organic Grill,East Village,Organic,$30 and under,4.8,4.7,4.3,4.5,143,100%,Julia Chebotar,Casual Dining,Casual Dress,Quiet
DIA,East Village,Italian,$30 and under,4.4,4.1,4.3,4.1,15,85%,,Casual Dining,Casual Dress,Moderate
Bill's Bar & Burger Downtown,Battery Park,American,$30 and under,3.9,3.9,3.8,3.7,251,78%,Michael Vignola,Casual Dining,Casual Dress,Moderate
Giardino D'Oro,Financial District,Italian,$31 to $50,4.6,4.8,4.6,4.1,209,96%,Nick Vulaj,Fine Dining,Smart Casual,Quiet
Gina - Lexington Ave,Upper East Side,Italian,$30 and under,3.8,3.8,3.7,3.7,7,75%,,Casual Dining,Casual Dress,Moderate
Mimmo,Upper East Side,Italian,$31 to $50,4.1,3.9,3.8,3.9,39,94%,Chef Mimmo,Casual Dining,Casual Dress,Moderate
Unagi (Aburi Ittetsu),Lower East Side,Japanese,$30 and under,4,4.1,3.5,3.1,6,75%,Hiroki Fukushima,Casual Dining,Casual Dress,Quiet
Turks & Frogs,Meatpacking District,American,$30 and under,4.3,4.7,4.8,4.3,4,100%,,Casual Dining,Smart Casual,Moderate
The Paris Cafe,South Street Seaport,American,$30 and under,4.3,4.3,4.3,4.2,95,85%,Scott Hawley,Casual Dining,Casual Dress,Moderate
Kitchenette - Uptown,Upper West Side,American,$30 and under,4.4,4.1,3.7,4,267,82%,Ann Nickinson ,Casual Dining,Casual Dress,Moderate
Sugar Bar,Upper West Side,Caribbean,$30 and under,4.5,4.3,4.5,4.3,280,96%,,Casual Dining,Casual Dress,Moderate
Jimmy at the James,SoHo,Tapas / Small Plates,$30 and under,4.2,3.9,4.4,3.8,69,88%,,Casual Dining,Smart Casual,Moderate
Kestè Wall Street,Financial District,Pizzeria,$30 and under,4.7,4.5,4.1,4.5,63,100%,,Casual Dining,Business Casual,Quiet
Cafe 21 at 21 West End,Upper West Side,International,$30 and under,4.2,4.2,4.3,4.3,40,100%,,Casual Dining,Casual Dress,Moderate
Barawine,Harlem,French,$30 and under,4.3,4.3,4.5,4.1,381,88%,Gabriel Perez,Casual Elegant,Smart Casual,Moderate
Casa Bella Restaurant,Little Italy,Italian,$30 and under,4.4,4.3,4.2,4.1,122,100%,Reanato Bardini,Casual Dining,Business Casual,Moderate
Bailey Restaurant and Bar,Financial District,American,$30 and under,4.1,4.3,4.2,3.9,213,82%,Donal Crosbie,Casual Dining,Casual Dress,Moderate
Hui Restaurant & Bar,Upper East Side,Asian,$30 and under,4.2,3.9,3.8,4.1,5,86%,,Casual Dining,Business Casual,Quiet
Lederhosen,West Village,German,$30 and under,4,4.1,3.5,4.3,16,83%,,Casual Dining,Casual Dress,Moderate
Selena Rosa,Upper East Side,Mexican,$30 and under,4.2,4,3.8,4,95,82%,,Casual Dining,Casual Dress,Moderate
IL Carino Restaurant,Upper East Side,Italian,$30 and under,4.5,4.6,4.5,4.2,74,83%,Chef Mario Cassinelli ,Elegant Dining,Business Casual,Quiet
Lugo Cucina,Midtown West,Italian,$31 to $50,4.3,4.2,4.1,4,1644,88%,Paolo Dorigato,Casual Elegant,Business Casual,Moderate
SAVIDA,TriBeCa - Downtown,Mediterranean,$31 to $50,4.6,4.4,4.4,4.3,24,86%,,Casual Dining,Business Casual,Moderate
CHARRUA,Lower East Side,Latin American,$30 and under,4.4,4.3,4.3,4.3,46,80%,Gonzalo Bava,Casual Dining,Smart Casual,Moderate
Papatzul,SoHo,Mexican / Southwestern,$31 to $50,4.5,4.1,4.1,4.1,264,75%,Thierry Amezcua,Casual Elegant,Smart Casual,Moderate
Renaissance Harlem,Harlem,American,$30 and under,4.4,4.2,4.2,4.1,115,89%,Chef Ali,Casual Dining,Casual Dress,Moderate
Sushi Yasaka,Upper West Side,Sushi,$30 and under,4.7,4.3,4,4.5,1796,94%,IKUYA YAMADA,Casual Dining,Casual Dress,Moderate
Le Monde,Upper West Side,French,$30 and under,4.1,4.1,4.1,3.9,183,93%,Segundo Guaman,Casual Elegant,Business Casual,Moderate
Lure New York,SoHo,Seafood,$31 to $50,4.6,4.5,4.6,4.1,3444,88%,Josh Capon,Casual Elegant,Smart Casual,Moderate
Bâtard,TriBeCa - Downtown,French,$50 and over,4.7,4.6,4.5,4.3,1143,92%,Markus Glocker,Casual Elegant,Smart Casual,Moderate
Ainsworth Fi Di,Financial District,American,$30 and under,4,3.7,3.8,3.5,325,75%,,Casual Dining,Casual Dress,Moderate
Benares - Tribeca,TriBeCa - Downtown,Indian,$31 to $50,4.6,4.5,4.4,4.5,290,93%,,Casual Dining,Casual Dress,Moderate
St. Tropez - SOHO,SoHo,French,$31 to $50,4.7,4.6,4.7,4.7,10,100%,Gerald Barthelemy,Casual Elegant,Smart Casual,Moderate
Gyu-Kaku - East Village,East Village,Japanese,$30 and under,4.7,4.4,4.4,4.4,1612,95%,You are the Chef!! ,Casual Dining,Business Casual,Moderate
Atlantic Grill Near Lincoln Center,Upper West Side,Seafood,$31 to $50,4.4,4.4,4.3,4.1,5924,91%,Franco Dominguez,Casual Elegant,Smart Casual,Moderate
Chouchou,East Village,Moroccan,$31 to $50,4.2,4.3,4.5,3.9,37,100%,Mario Carta,Casual Dining,Casual Dress,Moderate
Vic's,NoHo,Italian,$30 and under,4.7,4.6,4.7,4.4,969,97%,Hillary Sterling,Casual Elegant,Casual Dress,Moderate
Cafe Fiorello,Lincoln Square,Italian,$31 to $50,4.4,4.4,4.2,4,6783,92%,,Casual Elegant,Smart Casual,Moderate
Palma,Greenwich Village,Italian,$31 to $50,4.7,4.7,4.8,4.4,1971,96%,,Home Style,Smart Casual,Moderate
Perry St,West Village,Contemporary American,$31 to $50,4.6,4.5,4.6,4.2,3924,89%,Jean Georges Vongerichten,Casual Elegant,Casual Dress,Quiet
Lil' Frankie's,East Village,Italian,$30 and under,4.7,4.3,4.4,4.4,602,94%,Frank Prisinzano ,Casual Dining,Casual Dress,Moderate
Café Boulud,Upper East Side,French,$50 and over,4.6,4.6,4.5,4.2,5666,92%,Aaron Bludorn,Casual Elegant,Business Casual,Quiet
Boulud Sud,Lincoln Square,Mediterranean,$50 and over,4.6,4.6,4.5,4.2,5490,96%,Ulises Olmos,Casual Elegant,Smart Casual,Moderate
Cafe Luxembourg,Upper West Side,French American,$31 to $50,4.6,4.6,4.5,4.2,5271,95%,Carlos Letona,Casual Elegant,Casual Dress,Moderate
Bar Boulud,Upper West Side,French,$30 and under,4.5,4.4,4.3,4,7301,90%,,Casual Dining,Business Casual,Moderate
Raoul's,SoHo,Contemporary French,$31 to $50,4.8,4.6,4.7,4.3,1739,94%,David Honeysett,Casual Elegant,Casual Dress,Moderate
Gato,NoLita,Mediterranean,$50 and over,4.7,4.6,4.6,4.2,3197,92%,Bobby Flay,Casual Elegant,Smart Casual,Moderate
Bar Primi,Lower East Side,Italian,$30 and under,4.6,4.4,4.5,4.2,986,90%,Andrew Carmellini,Casual Dining,Casual Dress,Moderate
Lincoln Ristorante,Upper West Side,Italian,$31 to $50,4.6,4.7,4.7,4.1,5194,94%,Chef Shea Gallante,Fine Dining,Smart Casual,Quiet
Lupa,Greenwich Village,Italian,$31 to $50,4.6,4.5,4.5,4.3,4839,91%,James Kelly,Casual Dining,Casual Dress,Moderate
Locanda Verde,TriBeCa - Downtown,Italian,$31 to $50,4.6,4.5,4.6,4.1,2002,93%,Andrew Carmellini,Casual Dining,Smart Casual,Moderate
Rosa Mexicano by Lincoln Center,Lincoln Square,Mexican,$31 to $50,4.4,4.4,4.3,4.1,6832,90%,Ed McDevitt,Casual Dining,Smart Casual,Moderate
Lafayette,NoHo,French,$31 to $50,4.4,4.3,4.5,3.9,2518,88%,Andrew Carmellini,Casual Elegant,Smart Casual,Moderate
Vandal,Lower East Side,Tapas / Small Plates,$50 and over,4.5,4.5,4.7,4.3,2290,94%,Chef Sarah Nelson,Casual Elegant,Smart Casual,Moderate
Il Buco Alimentari & Vineria,NoHo,Italian,$31 to $50,4.6,4.6,4.5,4.2,2266,93%,Preston Madson,Casual Elegant,Casual Dress,Moderate
The Dutch,SoHo,American,$31 to $50,4.5,4.5,4.5,3.9,2487,88%,Andrew Carmellini,Home Style,Smart Casual,Moderate
JoJo,Upper East Side,Farm-to-table,$31 to $50,4.6,4.6,4.6,4.2,636,91%,Jean-Georges Vongerichten,Casual Elegant,Smart Casual,Moderate
BONDST,NoHo,Japanese,$50 and over,4.8,4.6,4.6,4.2,1757,93%,Shigeru Mikami & Marc Spitzer,Casual Elegant,Casual Dress,Moderate
Minetta Tavern,West Village,French,$50 and over,4.6,4.6,4.6,4.1,2363,93%,Lee Hanson & Riad Nasr,Casual Elegant,Smart Casual,Moderate
Balthazar,SoHo,French,$31 to $50,4.6,4.6,4.6,4.1,6490,91%,Shane McBride,Casual Dining,Casual Dress,Moderate
The Smith- Lincoln Square,Lincoln Square,American,$30 and under,4.5,4.5,4.2,4.1,6588,93%,Brian Ellis,Casual Dining,Casual Dress,Moderate
Minton's Playhouse,Harlem,American,$31 to $50,4.3,4.4,4.6,4.2,656,97%,Landy Mendoza,Casual Elegant,Smart Casual,Moderate
Beauty & Essex- New York,Lower East Side,Tapas / Small Plates,$31 to $50,4.6,4.5,4.7,4.2,6414,93%,Chris Santos,Casual Elegant,Smart Casual,Moderate
Mercer Kitchen,SoHo,American,$30 and under,4.4,4.2,4.5,4,5130,82%,Jean-Georges Vongerichten,Casual Elegant,Casual Dress,Moderate
Duke's - Upper East Side,Upper East Side,American,$30 and under,4.1,4.2,4,4,46,91%,Brandon Byrd,Casual Dining,Casual Dress,Moderate
Obica Mozzarella Bar  Pizza e Cucina,Gramercy / Flatiron,Italian,$31 to $50,4.3,4.3,4.3,4,673,90%,Erind Halilaj,Casual Elegant,Casual Dress,Moderate
Daniel,Upper East Side,French,$50 and over,4.7,4.7,4.8,4.3,5361,100%,Jean-François Bruel ,Fine Dining,Jacket Required,Quiet
Lincoln Ristorante,Upper West Side,Italian,$31 to $50,4.6,4.7,4.7,4.1,5194,94%,Chef Shea Gallante,Fine Dining,Smart Casual,Quiet
Gaetana's,West Village,Italian,$31 to $50,4.3,4.5,4.5,4.3,14,88%,Cirilo Tamayo /Frank T.Saponara ,Casual Dining,Business Casual,Moderate
Libertador UES,Yorkville,Argentinean,$31 to $50,4.3,4.1,4.2,4,140,81%,,Casual Elegant,Business Casual,Moderate
The Ellington,Upper West Side,American,$30 and under,4.4,4.4,4.4,4.3,239,100%,Jordan Brill,Casual Dining,Casual Dress,Moderate
Quartino Bottega Organica,NoHo,Italian,$30 and under,4.3,4.3,4.4,4.4,14,88%,,Casual Dining,Smart Casual,Moderate
Wa Jeal,Upper East Side,Chinese,$30 and under,4.7,4.6,4.5,4.3,228,100%,,Casual Dining,Casual Dress,Quiet
Surya,Greenwich Village,Indian,$30 and under,4.4,4.1,3.9,3.9,92,75%,Abishek Sharma,Casual Dining,Casual Dress,Quiet
Sola Lab,Financial District,Italian,$30 and under,4.5,4.5,4.3,4.3,37,88%,Luigi Speranza,Casual Dining,Casual Dress,Moderate
Papilles,East Village,French,$50 and over,4.8,4.9,4.5,4.5,13,100%,Chef Andrea Calstier,Casual Dining,Business Casual,Quiet
Sapori D’Italia,Little Italy,Italian,$30 and under,4.7,4.7,4.5,4.5,92,95%,,Casual Dining,Casual Dress,Moderate
Avena - Downtown,West Village,Italian,$30 and under,4.6,4.4,4.3,4.1,12,83%,Roberto  Deiaco,Casual Elegant,Business Casual,Moderate
Nagomi,SoHo,Japanese,$31 to $50,4.2,4,3.8,3.9,42,60%,,Casual Dining,Casual Dress,Moderate
Nonna Beppa,TriBeCa - Downtown,Italian,$30 and under,4.4,4.6,4.2,4.2,49,85%,,Casual Dining,Business Casual,Quiet
The Tuck Room- New York,South Street Seaport,Gastro Pub,$30 and under,4,4.2,4.4,3.8,230,71%,Greg Power,Casual Elegant,Business Casual,Moderate
Cafe Du Soleil,Upper West Side,French,$30 and under,4.2,4.2,4.2,4.1,570,84%,Robert Parchment,Casual Elegant,Casual Dress,Moderate
Finestra,Upper East Side,Italian,$30 and under,4.4,4.7,4.4,4.2,172,91%,,Casual Dining,Casual Dress,Quiet
Sugar East,Upper East Side,Speakeasy,$30 and under,4.3,4.2,4.3,4,11,75%,,Casual Dining,Smart Casual,Moderate
Esperanto Restaurant,East Village,Latin American,$30 and under,4.2,4.3,4.3,4.3,193,100%,,Casual Dining,Casual Dress,Moderate
Acqua Restaurant NYC,Financial District,Italian,$31 to $50,4.4,4.5,4.4,4.3,548,95%,,Casual Dining,Casual Dress,Moderate
Char Sue,Lower East Side,Asian,$30 and under,4.5,4.3,4.2,4.2,17,100%,Matt Rojas,Casual Dining,Casual Dress,Moderate
Il Brigante Restaurant,Financial District,Italian,$30 and under,4.7,4.5,4.6,4.5,300,96%,,Casual Dining,Casual Dress,Moderate
San Marino Soho,SoHo,Italian,$31 to $50,4.6,4.8,4.6,4.6,267,96%,Vilfrid Nucci,Casual Dining,Casual Dress,Quiet
Le Souk Harem - Greenwich Village,Greenwich Village,Moroccan,$31 to $50,3.6,3.2,3.5,3.3,331,45%,Doug Psaltis,Casual Elegant,Business Casual,Energetic
Maison Harlem,Harlem,French,$30 and under,4.5,4.4,4.5,4.2,535,98%,Romain Bonnans,Casual Dining,Casual Dress,Moderate
Merchants River House,Battery Park,American,$31 to $50,4.5,4.5,4.5,4.2,961,97%,Jossemar Tejada,Casual Dining,Casual Dress,Quiet
Juku Izakaya,Chinatown,Japanese,$31 to $50,4.5,4.6,4.4,4.1,21,90%,"Kazuo Yoshida, Koji Hagihara",Casual Elegant,Casual Dress,Moderate
Salinas,Chelsea,Spanish,$31 to $50,4.6,4.6,4.8,4.1,1798,94%,Luis Bollo,Casual Elegant,Smart Casual,Quiet
Campagna Quattro Gatti,Upper East Side,Italian,$31 to $50,4.4,4.3,4.2,4.2,152,81%,Remo Mastrangelo,Casual Elegant,Casual Dress,Moderate
Parm Battery Park City,Battery Park,Italian,$30 and under,4,3.9,3.8,3.8,264,76%,Chris Leahy,Casual Dining,Casual Dress,Moderate
Sala Thai,Upper West Side,Thai,$30 and under,4.8,4.7,4.6,4.6,64,94%,,Casual Dining,Casual Dress,Moderate
Seamore's Brookfield Place,Battery Park,Seafood,$30 and under,4.4,4.1,4.1,3.9,13,94%,,Casual Dining,Business Casual,Moderate
Italianissimo,Upper East Side,Italian,$30 and under,4.4,4.5,4.6,4.3,333,90%,Luigi Campoverde,Casual Elegant,Casual Dress,Quiet
Casa La Femme,West Village,Egyptian,$50 and over,4.2,3.9,4.1,3.6,453,69%,,Casual Elegant,Business Casual,Moderate
Bagatelle - NY,Meatpacking District,French,$31 to $50,4.3,4.4,4.5,4,511,88%,,Casual Elegant,Smart Casual,Moderate
Zutto Japanese American Pub,TriBeCa - Downtown,Japanese,$30 and under,4.4,4.3,4.1,4,21,94%,Mr. German Metz,Casual Dining,Casual Dress,Moderate
Harold's,SoHo,American,$50 and over,4.5,4.4,4.2,4.1,131,79%,Harold Moore,Casual Dining,Business Casual,Moderate
Schilling,TriBeCa - Downtown,Austrian,$30 and under,4.5,4.3,4.4,4.2,294,97%,Eduard Frauneder,Casual Dining,Business Casual,Moderate
Bettola,Upper West Side,Italian,$30 and under,4.3,4.4,4.2,4.2,422,83%,,Casual Dining,Casual Dress,Moderate
Fiat Cafe,NoLita,Italian,$30 and under,4.5,4.6,4.3,4.6,156,100%,Oscar Santana,Casual Dining,Casual Dress,Moderate
Grand Bar & Lounge at Soho Grand Hotel,SoHo,American,$31 to $50,4.3,4.1,4.5,4.1,80,67%,,Casual Dining,Smart Casual,Moderate
Taverna Di Bacco,Lower East Side,Italian,$31 to $50,4.6,4.6,4.4,4.3,249,93%,Maurizio Crescenzo,Casual Elegant,Casual Dress,Moderate
Serafina 105,Upper West Side,Italian,$30 and under,4.2,4.2,4.1,3.9,91,89%,,Casual Dining,Casual Dress,Moderate
Firenze,Upper East Side,Italian,$31 to $50,4.4,4.3,4.3,4.3,123,85%,Caesar Mandelli,Casual Dining,Casual Dress,Quiet
The Olive Tree Cafe,Greenwich Village,Contemporary American,$30 and under,4.3,4.1,4.4,4.4,81,89%,,Casual Dining,Business Casual,Moderate
Vino e Grano - Eataly Downtown NYC,Financial District,Italian,$30 and under,4.4,4,4.1,3.9,51,84%,,Casual Dining,Casual Dress,Moderate
Good Enough to Eat,Upper West Side,Comfort Food,$30 and under,4.1,4.3,4.3,4.1,135,71%,Carrie Levin,Casual Dining,Casual Dress,Quiet
Lalito,Chinatown,Mexican,$30 and under,4.1,4.1,4.2,3.8,33,81%,,Casual Dining,Casual Dress,Moderate
The Metrograph Commissary,Lower East Side,American,$30 and under,4.3,4.2,4.5,4,60,85%,Dennis​ ​Spina,Casual Dining,Casual Dress,Moderate
The Cabin NYC,East Village,American,$30 and under,4,4.2,4.5,4,17,94%,Chef Alex Smith,Casual Dining,Casual Dress,Moderate
Barbalu,South Street Seaport,Italian,$30 and under,4.6,4.4,4.5,4.4,258,100%,,Casual Dining,Casual Dress,Quiet
Il Riccio,Upper East Side,Italian,$31 to $50,4.4,4.4,4.1,4.2,555,96%,,Casual Dining,Smart Casual,Moderate
Numero 28 Pizzeria - West Village,West Village,Italian,$30 and under,4.5,4.2,4.3,4.4,122,86%,,Casual Dining,Casual Dress,Moderate
Luna Rossa Ristorante,Upper East Side,Italian,$31 to $50,4.6,4.6,4.4,4.4,518,95%,Paul Floess,Casual Dining,Casual Dress,Quiet
Numero 28 Pizzeria Napoletana 1st Ave.,Upper East Side,Italian,$30 and under,4.6,4.3,4.4,4.1,66,100%,,Casual Dining,Casual Dress,Moderate
Ms Yoo,Lower East Side,Gastro Pub,$30 and under,4.3,4.4,4.3,4,47,83%,Esther Choi,Casual Dining,Smart Casual,Moderate
Awadh,Upper West Side,Indian,$31 to $50,4.6,4.2,4.2,4.2,602,90%,,Fine Dining,Smart Casual,Moderate
Rotisserie Georgette,Upper East Side,French American,$30 and under,4.6,4.6,4.5,4.1,1244,89%,,Casual Elegant,Business Casual,Moderate
Bobby Van's Steakhouse - Broad Street,Financial District,Steakhouse,$31 to $50,4.3,4.3,4.2,4,899,82%,,Casual Elegant,Business Casual,Moderate
Benjamin Steakhouse,Midtown East,American,$50 and over,4.7,4.5,4.4,4.2,3055,87%,Arturo McLeod,Fine Dining,Smart Casual,Moderate
Estiatorio Milos - NY,Midtown West,Seafood,$50 and over,4.8,4.7,4.6,4.2,5149,97%,Costas Spiliadis,Fine Dining,Business Casual,Moderate
